fit_sk_nue02.dat
      0.106 &      0.975 &        1601.26770020
      0.119 &      0.975 &        1468.87866211
      0.133 &      0.975 &        1335.95446777
      0.150 &      0.975 &        1179.14904785
      0.168 &      0.975 &        1042.77441406
      0.188 &      0.975 &         921.71966553
      0.211 &      0.975 &         818.94873047
      0.237 &      0.975 &         690.47912598
      0.266 &      0.975 &         581.90307617
      0.299 &      0.975 &         497.22302246
      0.335 &      0.975 &         411.27041626
      0.376 &      0.975 &         336.69165039
      0.422 &      0.975 &         280.36413574
      0.473 &      0.975 &         221.40846252
      0.531 &      0.975 &         181.90510559
      0.596 &      0.975 &         141.59809875
      0.668 &      0.975 &         111.51781464
      0.750 &      0.975 &          85.96715546
      0.841 &      0.975 &          67.90608978
      0.944 &      0.975 &          50.64604187
      1.059 &      0.975 &          38.18139267
      1.189 &      0.975 &          29.17420578
      1.334 &      0.975 &          22.13605881
      1.496 &      0.975 &          15.84076214
      1.679 &      0.975 &          12.00344658
      1.884 &      0.975 &           8.47040272
      2.113 &      0.975 &           6.19868517
      2.371 &      0.975 &           4.36614895
      2.661 &      0.975 &           3.03662443
      2.985 &      0.975 &           2.12100768
      3.350 &      0.975 &           1.54144597
      3.758 &      0.975 &           1.04500091
      4.217 &      0.975 &           0.69815165
      4.732 &      0.975 &           0.52038640
      5.309 &      0.975 &           0.34100652
      5.957 &      0.975 &           0.23655628
      6.683 &      0.975 &           0.16077025
      7.499 &      0.975 &           0.11440931
      8.414 &      0.975 &           0.07122130
      9.441 &      0.975 &           0.04613394
     10.593 &      0.975 &           0.03234954
     11.885 &      0.975 &           0.02158322
     13.335 &      0.975 &           0.01438984
     14.962 &      0.975 &           0.00958855
     16.788 &      0.975 &           0.00638553
     18.836 &      0.975 &           0.00425132
     21.135 &      0.975 &           0.00282879
     23.714 &      0.975 &           0.00188178
     26.607 &      0.975 &           0.00125154
     29.854 &      0.975 &           0.00083204
     33.497 &      0.975 &           0.00055304
     37.584 &      0.975 &           0.00036753
     42.170 &      0.975 &           0.00024419
     47.315 &      0.975 &           0.00016222
     53.088 &      0.975 &           0.00010775
     59.566 &      0.975 &           0.00007156
     66.834 &      0.975 &           0.00004752
     74.989 &      0.975 &           0.00003155
     84.140 &      0.975 &           0.00002094
     94.406 &      0.975 &           0.00001390
    105.925 &      0.975 &           0.00000923
      0.106 &      0.925 &        1608.45751953
      0.119 &      0.925 &        1482.20947266
      0.133 &      0.925 &        1342.08691406
      0.150 &      0.925 &        1192.26599121
      0.168 &      0.925 &        1069.68811035
      0.188 &      0.925 &         937.75921631
      0.211 &      0.925 &         805.18695068
      0.237 &      0.925 &         691.82586670
      0.266 &      0.925 &         593.00842285
      0.299 &      0.925 &         492.16918945
      0.335 &      0.925 &         426.14602661
      0.376 &      0.925 &         340.16833496
      0.422 &      0.925 &         283.23959351
      0.473 &      0.925 &         224.65531921
      0.531 &      0.925 &         181.40977478
      0.596 &      0.925 &         146.39028931
      0.668 &      0.925 &         114.39816284
      0.750 &      0.925 &          88.65161133
      0.841 &      0.925 &          68.60949707
      0.944 &      0.925 &          50.95172501
      1.059 &      0.925 &          39.49266052
      1.189 &      0.925 &          30.70752907
      1.334 &      0.925 &          22.66423988
      1.496 &      0.925 &          16.76385880
      1.679 &      0.925 &          12.25395584
      1.884 &      0.925 &           8.98852730
      2.113 &      0.925 &           6.55499983
      2.371 &      0.925 &           4.67345238
      2.661 &      0.925 &           3.23482966
      2.985 &      0.925 &           2.27377748
      3.350 &      0.925 &           1.62294459
      3.758 &      0.925 &           1.07093632
      4.217 &      0.925 &           0.79026681
      4.732 &      0.925 &           0.53008068
      5.309 &      0.925 &           0.36131102
      5.957 &      0.925 &           0.23700257
      6.683 &      0.925 &           0.16424443
      7.499 &      0.925 &           0.11688633
      8.414 &      0.925 &           0.07900336
      9.441 &      0.925 &           0.05015837
     10.593 &      0.925 &           0.03456321
     11.885 &      0.925 &           0.02323846
     13.335 &      0.925 &           0.01560659
     14.962 &      0.925 &           0.01047128
     16.788 &      0.925 &           0.00701924
     18.836 &      0.925 &           0.00470250
     21.135 &      0.925 &           0.00314774
     23.714 &      0.925 &           0.00210596
     26.607 &      0.925 &           0.00140836
     29.854 &      0.925 &           0.00094128
     33.497 &      0.925 &           0.00062886
     37.584 &      0.925 &           0.00042000
     42.170 &      0.925 &           0.00028040
     47.315 &      0.925 &           0.00018716
     53.088 &      0.925 &           0.00012488
     59.566 &      0.925 &           0.00008331
