fit_sk_nue02_mx.dat
      0.106 &      0.975 &        1503.05712891
      0.119 &      0.975 &        1378.65234375
      0.133 &      0.975 &        1253.35620117
      0.150 &      0.975 &        1107.61840820
      0.168 &      0.975 &         979.57769775
      0.188 &      0.975 &         865.24829102
      0.211 &      0.975 &         768.70397949
      0.237 &      0.975 &         649.17260742
      0.266 &      0.975 &         547.03051758
      0.299 &      0.975 &         467.68420410
      0.335 &      0.975 &         387.03717041
      0.376 &      0.975 &         317.02664185
      0.422 &      0.975 &         264.13287354
      0.473 &      0.975 &         208.69726562
      0.531 &      0.975 &         171.48031616
      0.596 &      0.975 &         133.65527344
      0.668 &      0.975 &         105.38399506
      0.750 &      0.975 &          81.27994537
      0.841 &      0.975 &          64.27930450
      0.944 &      0.975 &          48.00933456
      1.059 &      0.975 &          36.22519684
      1.189 &      0.975 &          27.70902061
      1.334 &      0.975 &          21.05420303
      1.496 &      0.975 &          15.09706211
      1.679 &      0.975 &          11.44981289
      1.884 &      0.975 &           8.09997845
      2.113 &      0.975 &           5.93721008
      2.371 &      0.975 &           4.19201899
      2.661 &      0.975 &           2.92375898
      2.985 &      0.975 &           2.04690862
      3.350 &      0.975 &           1.48992968
      3.758 &      0.975 &           1.01186383
      4.217 &      0.975 &           0.67794704
      4.732 &      0.975 &           0.50593770
      5.309 &      0.975 &           0.33245564
      5.957 &      0.975 &           0.23126462
      6.683 &      0.975 &           0.15753222
      7.499 &      0.975 &           0.11235674
      8.414 &      0.975 &           0.07001299
      9.441 &      0.975 &           0.04551104
     10.593 &      0.975 &           0.03190437
     11.885 &      0.975 &           0.02130446
     13.335 &      0.975 &           0.01421675
     14.962 &      0.975 &           0.00948208
     16.788 &      0.975 &           0.00632075
     18.836 &      0.975 &           0.00421239
     21.135 &      0.975 &           0.00280576
     23.714 &      0.975 &           0.00186842
     26.607 &      0.975 &           0.00124398
     29.854 &      0.975 &           0.00082792
     33.497 &      0.975 &           0.00055091
     37.584 &      0.975 &           0.00036652
     42.170 &      0.975 &           0.00024380
     47.315 &      0.975 &           0.00016215
     53.088 &      0.975 &           0.00010783
     59.566 &      0.975 &           0.00007169
     66.834 &      0.975 &           0.00004766
     74.989 &      0.975 &           0.00003168
     84.140 &      0.975 &           0.00002106
     94.406 &      0.975 &           0.00001400
    105.925 &      0.975 &           0.00000930
      0.106 &      0.925 &        1509.97863770
      0.119 &      0.925 &        1390.68017578
      0.133 &      0.925 &        1259.04736328
      0.150 &      0.925 &        1119.68811035
